Country,Latitude,Longitude,"Adjacentes"
Portugal,39.66216,-8.13535,"[Espanha,Marrocos]"
Espanha,39.32607,-4.83798,"[Itália,Fraça,Portugal]"
França,46.60335,1.88833,"[Espanha,Inglaterra,Alemanha]"
Itália,42.63843,12.67430,"[Espanha,Ucrania,Alemanha]"
Alemanha,51.16382,10.44783,"[Itália,França,Ucrania,Eslovaquia]"
Marrocos,28.33477,-10.37134,"[Portugal,Ucrania,Irão,Congo,Cabo Verde]"
Inglaterra,52.53102,-1.26491,"[França,Alemanha,Eslovaquia,Dinamarca,Noruega]"
Ucrania,49.48720,31.27183,"[Alemanha,Itália,Marrocos,Irão,Russia,Eslovaquia]"
Eslovaquia,48.74115,19.45286,"[Russia,Alemanha,Suecia,Inglaterra]"
Dinamarca,55.67025,10.33333,"[Alemanha,Inglaterra,Suecia,Noruega]"
Noruega,64.57315,11.52804,"[Inglaterra,Dinamarca,Suecia]"
Suecia,59.67497,14.52086,"[Noruega,Dinamarca,Eslovaquia,Russia]"
Russia,64.68631,97.74531,"[Eslovaquia,Suecia,Ucrania,Paquistão,Vietname,Mongolia,India]"
Irão,32.64753,54.56435,"[Ucrania,Marrocos,Palestina,Egito]"
Congo,-2.98143,23.82226,"[Marrocos,Mali]"
EAU,24.00025,53.99948,"[Palestina,Mali,Egito]"
Cabo Verde,16.00006,-24.00839,"[Moçambique,Costa do Marfim,Marrocos]"
Costa do Marfim,7.98974,-5.56795,"[Cabo Verde,Angola]"
Angola,-11.87758,17.56912,"[Liberia,Costa do Marfim,Moçambique,Africa do Sul]"
Africa do Sul,-28.81662,24.99164,"[Angola,Moçambique]"
Moçambique,-19.30223,34.91450,"[Angola,Cabo Verde,Madagascar,Africa do Sul]"
Madagascar,-18.92496,46.44164,"[Moçambique,Quenia]"
Liberia,5.74997,-9.36585,"[Mali,Angola,Madagascar]"
Mali,16.37004,-2.29002,"[EAU,Congo,Quenia,Palestina,Liberia,Madagascar]"
Palestina,31.46242,34.26272,"[Ucrania,Irão,EUA,Mali,Afeganistao]"
Egito,26.25405,29.26755,"[EUA,Irão]"
Quenia,1.44197,38.43140,"[Mali,Madagascar]"
Vietname,15.92667,107.96509,"[Russia,India,Tailandia]"
Afeganistao,33.76801,66.23851,"[Palestina,Mongolia,India]"
Tailandia,14.89719,100.83273,"[Vietname,Indonésia]"
Mongolia,46.82504,103.84997,"[Russia,India,Afeganistao]"
India,22.35111,78.66774,"[Nepal,Myanmar,China,Paquistão,Vietname,Afeganistao]"
Paquistão,30.33084,71.24750,"[Myanmar,Russia,India]"
Myanmar,17.17505,95.99997,"[Paquistão,Nepal]"
Nepal,28.37805,83.99999,"[China,India,Myanmar]"
China,35.00007,104.99996,"[India,México,Nepal,Bangladesh,Japão,Indonésia,Mongolia,Coreia do Sul]"
Indonésia,-2.48338,117.89029,"[China,Tailandia,Filipinas,Nova Zelândia]"
Filipinas,12.75035,122.73121,"[Indonédia,Coreia do Sul,Japão]"
Coreia do Sul,36.63839,127.69612,"[Filipinas,China,Japão,Austrália]"
Japão,36.57484,139.23942,"[China,Bangladesh,Austrália,Coreia do Sul,Filipinas]"
Bangladesh,24.47693,90.29344,"[China,Japão]"
Austrália,-24.77611,134.75500,"[Japão,Coreia do Sul,Papua Nova Guiné,Nova Zelândia]"
Nova Zelândia,-41.50008,172.83441,"[Indonésia,Austrália,Fiji,Vanuatu]"
Fiji,-18.12397,179.01227,"[Nova Zelândia,Vanuatu]"
Vanuatu,-16.52551,168.10692,"[Nova Zelância,Fiji]"
Papua Nova Guiné,-5.68161,144.24891,"[Austrália,Nova Zelândia]"
Républica Dominicana,19.09740,-70.30280,"[Haiti]"
México,19.43263,-99.13318,"[China,Honduras,Colômbia,Peru,EUA]"
Peru,-6.86997,-75.04585,"[Nicarágua,México,Honduras,Cuba]"
Nicarágua,12.60902,-85.29369,"[Guatelama,Peru,Colômbia]"
Guatemala,15.58555,-90.34576,"[Colômbia,Nicarágua]"
Colômbia,4.09992,-72.90881,"[Guatemala,México,Argentina,Haiti,Cuba,Nicarágua]"
Honduras,15.25724,-86.07551,"[Peru,México,Argentina]"
Cuba,23.01313,-80.83287,"[Peru,Colômbia,EUA,Argentina,Brasil,Haiti]"
Haiti,19.14000,-72.35710,"[Colômbia,Cuna,Républica Dominicana]"
Brasil,-10.33333,-53.20000,"[Cuba,Argentina]"
Argentina,-34.99650,-64.96728,"[Colômbia,Brasil,Honduras,Cuba]"
EUA,39.78373,-100.44588,"[México,Cuba,Canada]"
Canada,61.06669,-107.99171,"[EUA]"